Metric	Value
Maximum_Memory_Used_Mb	628.3359375
Minimum_Memory_Available_Mb	336.12109375
Maximum_Disk_Used_Gb	72.0451011657715
Maximum_Memory_Utilization	65.14918935119745
Maximum_CPU_Utilization	84.0
Maximum_Disk_Utilization	41.6172462274919
Start_Time	2019-08-21 19:50:41
End_Time	2019-08-23 18:46:06
